#Ly;MeshElem;CompLy;Diap
Все линии;Ar;Argon;
257,14;;255,6;1,0-5,0
477,23;;;0,006-10,0
349,62;;;0,006-10,0
343,82;;;0,006-10,0
339,2;;;0,006-10,0
Cu:;;;
324,75;;327,53;0,0009-0,01
224,7;;224,47;0,01-0,25
324,75;;;0,001-0,25
Ni:;;;
341,48;;342,89;0,01-0,10
239,45;;243,41;0,10-0,25
341,48;;;0,01-0,25
S:;;;
180,73;;;0,005-0,20
182,04;;;0,005-0,20
481,55;;;0,005-0,20
P:;;;
178,29;;;0,02-0,50
214,91;;;0,02-0,50
Si:;;;
181,69;;;0,10-2,00
212,41;;;0,10-2,00
243,52;;;0,10-2,00
288,16;;;0,10-2,00
390,55;;;0,10-2,00
Mn:;;;
263,82;;;0,10-2,00
293,31;;;0,10-2,00
478,34;;;0,10-2,00
482,35;;;0,10-2,00
Cr:;;;
206,55;;;0,01-0,50
267,72;;;0,01-0,50
275,29;;;0,01-0,50
462,62;;;0,01-0,50
Ni:;;;
218,55;;;0,01-0,50
225,39;;;0,01-0,50
227,02;;;0,01-0,50
231,6;;;0,01-0,50
341,48;;;0,01-0,50
351,51;;;0,01-0,50
385,83;;;0,01-0,50
Cu:;;;
200,04;;;0,02-0,20
219,23;;;0,02-0,20
223,01;;;0,02-0,20
327,4;;;0,02-0,20
510,55;;;0,02-0,20
V:;;;
271,57;;;0,01-0,50
290,82;;;0,01-0,50
311,07;;;0,01-0,50
312,29;;;0,01-0,50
317,92;;;0,01-0,50
Ti:;;;
190,8;;;0,01-0,10
316,25;;;0,01-0,10
324,2;;;0,01-0,10
334,94;;;0,01-0,10
337,28;;;0,01-0,10
453,32;;;0,01-0,10
As:;;;
189,04;;;0,01-0,20
193,76;;;0,01-0,20
234,98;;;0,01-0,20
286,05;;;0,01-0,20
Fe:;;187,75;
;;241,33;
;;249,33;
;;262,83;
;;271,44;
;;272,02;
;;300,96;
;;309,16;
;;438,35;
Al:;;;
308,215;;;
Bi:;;;
306,772;;;
Fe:;;;
259,94;;;
Cd:;;;
226,502;;;
Co:;;;
228,616;;;
Si:;;;
251,611;;;
Mn:;;;
257,61;;;
Cu:;;;
;;223;
As:;;;
193,696;;;
Ni:;;;
231,604;;;
Sn:;;;
284;;;
Pb:;;;
220,353;;;
Sb:;;;
206,833;;;
Cr:;;;
267,716;;;
Zn:;;;
206,2;;;
Mg:;;;
279,563;;;
V:;;;
437,92;Fe;;0,003 - 0,01
318,54;Fe;;0,001 - 0,01
318,4;Fe;;0,001 - 0,01
Fe:;;;
371,99;;;0,0005 - 0,5
302,06;Cr;;0,0003 - 0,3
275,4;Cr;;0,1 - 1,0
274,32;Ni;;0,1 - 1,0
259,94;;;0,03 - 1,0
248,33;;;0,0005 - 1,0
239,56;;;0,1 - 1,0
Si:;;;
390,55;Fe;;0,1 - 1,0
298,76;;;0,5 - 1,0
288,16;;;0,0005 - 1,0
251,61;Ti;;0,001 - 1,0
250,69;;;0,01 - 1,0
Mg:;;;
518,36;;;0,001 - 0,02
285,21;Fe;;0,0005 - 0,02
280,27;Mn;;0,001 - 0,02
279,55;Fe;;0,001 - 0,02
279,08;;;0,003 - 0,02
Mn:;;;
482,35;;;0,001 - 0,02
403,08;Ga,Fe;;0,0002 - 0,02
294,92;W,Ti;;0,001 - 0,02
293,3;;;0,005 - 0,02
280,11;Mg,Fe;;0,0002 - 0,02
260,57;;;0,001 - 0,02
259,37;Fe;;0,001 - 0,02
Cu:;;;
510,55;Fe;;0,001 - 0,03
327,4;;;0,0003 - 0,03
324,75;Fe,Ti;;0,0003 - 0,03
Na:;;;
589,59;;;0,001 - 0,03
589;;;0,0003 - 0,02
Ti:;;;
365,35;Fe;;0,002 - 0,03
337,28;;;0,003 - 0,03
334,9;;;0,0001 - 0,03
323,45;Fe;;0,005 - 0,03
Cr:;;;
425,43;;;0,0001 - 0,005
359,35;Fe;;0,001 - 0,01
357,87;CN;;0,003 - 0,01
301,48;Fe;;0,003 - 0,01
Zn:;;;
636,23;;;0,001 - 0,1
481,05;;;0,001 - 0,1
334,5;;;0,0002 - 0,1
Al:;;;
;;396,153;
;;394,403;
;;308,216;
;;305,993;
;;305,008;
;;293,6;
;;266,92;
;;265,249;
;;266,039;
;;237,841;
Al:;;;
309,27;;;0,0002-0,005
308,22;;;0,005-0,1
B:;;;
249,67;;;0,0001-0,001
Bi:;;;
306,77;;;0,00001-0,001
289,8;;;0,0005-0,01
Ga:;;;
403,3;;;0,00003-0,0003
287,42;;;0,00003-0,0003
Fe:;;;
302,06;;;0,001-0,01
271,9;;;0,001-0,01
248,33;;;0,001-0,01
248,81;;;0,001-0,01
296,69;;;0,001-0,01
295,39;;;0,005-0,1
296,53;;;0,01-1,0
Cd:;;;
228,8;;;0,00005-0,0003
214,44;;;0,00005-0,0005
326,11;;;0,0003-0,01
Ca:;;;
422,67;;;0,0005-0,005
317,93;;;0,005-0,05
Co:;;;
340,51;;;0,0003-0,01
304,4;;;0,001-0,03
240,72;;;0,001-0,03
242,49;;;0,01-0,3
307,23;;;0,01-0,3
308,26;;;0,01-0,3
298,96;;;0,05-1,0
326,08;;;0,05-1,0
Si:;;;
288,16;;;0,0003-0,01
251,61;;;0,0003-0,01
251,92;;;0,005-0,2
Mg:;;;
285,21;;;0,0001-0,02
279,55;;;0,0001-0,01
280,27;;;0,0001-0,01
277,98;;;0,002-0,1
278,14;;;0,01-0,2
Mn:;;;
279,48;;;0,00005-0,005
257,61;;;0,0001-0,005
293,31;;;0,005-0,05
294,92;;;0,005-0,05
325,84;;;0,03-0,2
Cu:;;;
324,75;;;0,00005-0,005
327,4;;;0,00005-0,005
296,12;;;0,005-0,1
282,44;;;0,005-0,1
249,2;;;0,005-0,1
276,63;;;0,05-1,0
As:;;;
234,98;;;0,0001-0,01
228,81;;;0,0001-0,01
278,02;;;0,001-0,01
286,04;;;0,001-0,01
Sn:;;;
284;;;0,00003-0,005
286,33;;;0,0001-0,005
285,06;;;0,001-0,01
242,95;;;0,001-0,01
Pb:;;;
283,31;;;0,00005-0,005
405,78;;;0,00005-0,001
287,33;;;0,005-0,01
261,42;;;0,005-0,01
Se:;;;
203,99;;;0,0001-0,01
Ag:;;;
328,07;;;0,00001-0,002
Sr:;;;
460,73;;;0,0001-0,001
Sb:;;;
259,81;;;0,0001-0,01
287,79;;;0,0001-0,01
Tl:;;;
276,79;;;0,00002-0,003
Ta:;;;
265,33;;;0,0001-0,005
Te:;;;
214,28;;;0,00005-0,001
238,58;;;0,0001-0,003
P:;;;
213,62;;;0,0001-0,005
253,56;;;0,0003-0,005
Cr:;;;
425,44;;;0,0001-0,001
Zn:;;;
206,19;;;0,0001-0,001
334,5;;;0,0002-0,005
330,26;;;0,0002-0,005
334,56;;;0,001-0,01
Ni:;;;
;;204,37;
;;205,32;
;;213,35;
;;242,91;
;;283,46;
;;287,62;
;;311,67;
;;329,62;
Be:
II 313,1;;I 305,01;0,0005-0,02
II 313,04;V;I 305,01;0,0005-0,02
I 265,05;;I 265,25;0,02-0,9
B:
I 249,68;;I 266,92;0,01-0,05
I 249,77;Fe;I 266,92;0,01-0,05
V:
II 311,07;;I 305,01;0,05-0,3
II 310,23;;I 305,01;0,05-0,3
Fe:
II 259,94;;I 266,04;0,5-2
II 259,64;;I 265,25;0,5-2
II 275,57;;I 266,04;0,5-2
II 275,33;;I 265,25;0,5-2
Cd:
I 346,77;;I 305,01;0,05-0,5
I 346,62;;I 305,99;0,05-0,5
I 340,36;;I 305,01;0,05-0,5
I 228,8;;I 226,34;0,2-0,5
Ca:
II 393,37;;I 305,01;0,01-0,1
II 396,85;;I 305,01;0,01-0,1
II 317,93;;I 305,01;0,01-0,1
II 315,89;;I 305,01;0,1-0,5
Si:
I 288,16;;I 305,99;0,05-0,5
I 288,16;;I 266,91;0,05-0,5
I 250,69;;I 266,91;0,05-0,5
I 250,69;;I 237,84;0,05-0,5
I 288,16;;I 265,25;0,2-3
I 251,61;Ti;I 266,04;0,2-3
I 252,85;;I 265,25;0,2-3
Li:
I 323,26;;I 305,01;0,5-2,5
I 323,26;;I 305,99;0,5-2,5
Mg:
II 279,08;;I 305,01;0,01-0,8
I 285,21;;I 266,04;0,5-5
II 292,87;;I 266,04;0,5-5
II 293,65;;I 265,25;0,5-5
277,98;;I 266,04;0,8-5
I 277,67;;I 266,04;2-15
Mn:
II 294,92;;I 305,01;0,05-1
II 259,27;;I 265,25;0,05-1
II 260,57;;I 265,25;0,1-1,5
293,93;;I 305,01;0,1-1,5
293,31;;I 305,01;0,1-1,5
288,95;;I 305,01;0,3-2
II 267,26;;I 265,25;0,5-2
Cu:
I 327,4;;I 305,01;0,01-1
I 324,75;;I 305,01;0,01-1
II 236,99;;I 237,21;1-10
II 239,44;;I 232,16;2-10
I 282,44;;I 305,01;2-10
I 282,44;;I 366,92;2-10
Ni:
I 341,48;;I 305,99;0,05-0,5
I 313,41;;I 305,99;0,05-0,5
I 310,15;;I 305,01;0,1-0,5
II 251,09;;I 266,04;0,5-2,5
II 241,61;;I 265,25;0,5-2,5
Sn:
I 317,05;;I 305,99;0,01-0,3
I 286,33;;I 266,92;0,01-0,3
As:
I 234,98;;I 231,25;0,002-0,02
I 234,98;;F;0,002-0,02
Pb:
I 283,3;;I 305,99;0,02-0,2
I 283,3;;I 266,92;0,02-0,2
Sc:
II 363,07;;I 305,01;0,02-0,1
II 335,37;;I 305,01;0,02-0,1
II 337,11;;I 305,01;0,1-0,4
Sb:
I 287,79;;I 305,99;0,01-0,05
I 287,79;;I 266,92;0,01-0,05
I 231,15;;I 231,25;0,002-0,05
I 231,15;;F;0,002-0,05
Ti:
II 334,90;;I 305,01;0,02-0,3
II 334,19;;I 305,01;0,02-0,3
II 336,12;;I 305,01;0,05-0,5
II 338,03;;I 305,01;0,1-0,8
Cr:
I 425,43;;I 305,01;
I 283,56;;I 266,04;0,02-0,5
I 283,56;;I 265,25;0,02-0,5
Ce:
II 320,17;;F;0,1-0,5
Zn:
II 334,5;;I 305,99;0,05-0,5
I 330,29;;I 305,99;0,05-0,5
I 334,5;;I 305,01;0,5-5
I 330,29;;I 305,01;2-8
I 328,23;;I 305,01;3-10
II 255,8;;I 266,04;2-3
II 250,2;;I 265,25;2-8
Zr:
II 339,19;;I 305,01;0,03-0,3
Ag:;;;
328;;311,8;
Cu:;;;
324,7;;322;
Bi:;;;
306,7;;311,8;
Sb:;;;
231,1;;218,7;
231,1;;224,2;
Sn:;;;
235,4;;218,7;
235,4;;224,2;
As:;;;
234,9;;218,7;
234,9;;224,2;
Zn:;;;
334,5;;322;
Mg:;;;
285,2;;292,6;
Ca:;;;
422,6;;434;
Na:;;;
588,9;;500,5;
Ni:;;;
282,129;;F;
241,614;;F;
Fe:;;;
296,69;;F;
259,939;;F;
259,837;;F;
238,204;;F;
Sn:;;;
266,125;;F;
281,262;;F;
283,999;;F;
As:;;;
234,984;;F;
Pb:;;;
287,332;;F;
244,38;;F;
283,307;;F;
Al:;;;
266,039;;F;
308,215;;F;
Si:;;;
243,516;;F;
251,433;;F;
283,158;;F;
Bi:;;;
306,772;;F;
P:;;;
255,32;;F;
Sb:;;;
252,85;;F;
259,81;;F;
Pb:;;;
405,78;;F;
405,78;;510,55;
283,31;;249,22;
Fe:;;;
371,99;;F;
371,99;;510,55;
302,06;;F;
302,06;;510,55;
259,93;;249,22;
Sn:;;;
283,99;;F;
283,99;;510,55;
317,51;;F;
317,51;;510,55;
317,51;;249,22;
Al:;;;
394,4;;F;
394,4;;510,55;
396,15;;F;
396,15;;510,55;
309,27;;249,22;
Ni:;;;
341,48;;F;
341,48;;510,55;
341,48;;249,22;
Si:;;;
288,16;;F;
288,16;;510,55;
251,61;;249,22;
As:;;;
234,98;;228,3;
Mn:;;;
293,3;;510,55;
Sb:;;;
231,147;;510,55;
Bi:;;;
306,772;;249,22;
306,772;;510,55;
Pb:;;;
405,78;;510,55;
363,95;;510,55;
Sb:;;;
206,838;;F;
259,809;;F;
217,588;;F;
As:;;;
234,984;;F;
Mg:;;;
279,553;;316,5;
279,553;;F;
280,27;;F;
Sn:;;;
283,999;;316,5;
317,505;;F;
Si:;;;
288,158;;316,5;
288,158;;F;
251,611;;F;
Bi:;;;
306,772;;316,5;
306,772;;F;
Ag:;;;
338,289;;316,5;
338,289;;F;
Ni:;;;
341,476;;316,5;
341,477;;F;
Fe:;;;
371,994;;316,5;
302,064;;F;
259,94;;F;
Mn:;;;
403,075;;316,5;
403,076;;F;
293,344;;F;
Pb:;;;
405,782;;316,5;
405,782;;F;
283,307;;F;
Cr:;;;
425,434;;316,5;
425,434;;F;
267,799;;F;
Zn:;;;
472,222;;316,5;
472,216;;F;
334,505;;F;
P:;;;
253,339;;F;
253,399;;F;
Sb:;;;
259,806;;F;0,001-0,01
261,23;;F;0,01-0,06
259,806;;F;0,0005-0,006
As:;;;
234,984;;F;0,0006-0,01
286,045;;F;0,01-0,07
234,984;;F;0,0004-0,005
286,045;;F;0,005-0,07
Mg:;;;
